Problem	Population Size	Generations	Step Size	Elites	Mutations	Crossovers	First	Best	Fitness	Crossover Points	Runtime (ms)
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5, -5, -5) = 125	f(-1.9868040627021826, -3.970382311094784, -2.0878633756560347, -1.0655432787035115, -1.9189201672438676) = 32.68657863438328	2.9685413020226346	2	17.6997
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5, -5, -5) = 125	f(-1.0218203117188132, -2.985697606336752, -2.1077144915326014, -3.0468145891432283, -1.0585850273928852) = 28.242335782059634	3.4196994639994065	2	11.4201
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5, -5, -5) = 125	f(-3.0033891287684007, -0.9656176401931842, -1.1529390028792195, -2.0452813676049955, -3.0910210383245396) = 31.52014304256464	3.075017224527979	1	11.736
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5) = 250	f(-5.12, -3.9853876885739776, -3.9766607465234056, -2.9261641611043374, -4.214979375259778, -4.01566913067973, -4.163523554946203, -4.1578303397886325, -2.1020853285267496, -3.885306028360535) = 180.11574757801012	0.5521331045878716	1	14.1909
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5) = 250	f(-4.037377087976835, -4.123421904334101, -4.054752256939146, -4.064546695551523, -2.1337669776122468, -3.1554066051469194, -2.9957030728528293, -4.055846306174798, -3.0107983356902945, -4.054097232359793) = 145.1670474219264	0.6841487309471305	2	13.8875
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5) = 250	f(-2.1475538447271703, -4.106870187697873, -4.017164111421806, -3.2112258683122974, -4.02714310428865, -3.131573022336278, -4.1025349908390805, -4.037676450416141, -2.9955540732514105, -4.091015451881739) = 153.86168566801362	0.6457375145352354	5	14.3329
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5) = 250	f(-5, -4.021555054875318, -3.0106853287407915, -4.027102467806456, -3.9809217140079536, -4.059406722053186, -4.050855310467957, -4.0074337846155315, -4.00480965682715, -4.140566386250287) = 169.6269050966199	0.5860740423286327	1	14.8665
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5) = 2500	f(-5, -5, -4.1668386966483695, -4.013142702293022, -5, -5, -4.04649434486169, -5, -5, -5, -5, -5, -5, -5, -5.12, -5, -5, -5, -5, -5, -5, -5, -4.037498498354686, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -4.013364452838753, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5.12, -5, -5, -5, -5, -5, -4.076090348953819, -4.1540988930912555, -5, -5, -4.012056183534611, -5, -5, -5, -4.0399255720151395, -5, -5, -4.008311100303978, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5.12, -5, -5, -5, -4.096830198891683, -5, -5, -5, -5, -5, -5, -5, -5.12, -5, -5, -4.1440739014619465, -5.041687632102741, -4.09961609656532) = 2425.931168352509	0.0412043000246619	1	49.5869
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5) = 2500	f(-5, -5, -5, -5, -5, -5, -5, -5, -4.077724335170938, -5, -5, -5, -5, -5, -5, -4.127742425435866, -5, -5, -5, -4.119608632218478, -5, -5, -4.14257403787224, -5, -5, -5, -5, -5, -5, -5, -4.02495812121172, -4.074939890156625, -4.029086753999343, -5, -5, -5, -5, -5, -4.96949001644966, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5.12, -5, -4.012718128064731, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -4.028310979385464, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -4.015141700737873, -5, -5, -5, -5, -5.12, -5, -5, -5, -5) = 2435.2940168973046	0.04104594901372088	2	53.4487
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5) = 2500	f(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5.12, -4.079795989524111, -4.071311563219217, -5, -5, -5, -5, -4.046715938551322, -5.12, -4.010748620336397, -5.12, -5, -5, -5, -5, -4.967019620265837, -5, -4.184587770874451, -5, -5, -5, -5, -5, -5, -5, -4.826170132524364, -5, -5, -4.965960061212087, -5, -5, -5, -4.0432139339621, -5, -5, -5, -5, -5, -5, -5, -3.869080282943546, -5, -5, -5, -4.102967053710835, -5, -5, -5, -5, -5, -5, -4.006582694840343, -5, -5, -5, -5, -5, -4.1114690077579175, -5, -4.132764057478331, -5, -5, -5, -5, -5, -5, -5, -4.968471742954849, -5, -5, -5, -5, -5, -5, -5, -5, -4.145948676731619, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5) = 2437.5061581828545	0.04100871333231276	50	59.7136
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5) = 2500	f(-4.054571606600719, -5, -5, -5.12, -5, -5, -5, -5, -5, -5, -5, -5, -4.8971383394163865, -5, -5, -5, -5, -5, -3.0946860485064303, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -4.085910660965812, -5, -5, -5, -5, -5, -5, -4.031344884895531, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -4.040057135943325, -5, -5, -4.0993869847130116, -5, -5, -5, -5, -5, -5, -5, -5, -4.1373312367421455, -5, -5, -5, -4.0211396721475605, -5, -5, -5, -5, -5, -5, -5, -4.013196551492942, -5, -5, -5, -5, -5, -4.00551794206268, -5, -5, -5, -5, -5, -5, -5, -4.040288192368742, -5, -5.099894051068834, -5, -5, -5, -4.024263507504458) = 2408.062310395617	0.04150992673310221	1	54.0203
